dealer_name,city,county,address,telefon,email,luni,marti,miercuri,joi,vineri,sambata,duminica,latitudine,longitudine,profil_magazin,cod_postal
Partener autorizat - Arsis Trading,Constanta,Constanta,"Str.Cumpenei nr.2 Spatiu P09, parter",732670373,constanta.cora@arsis.ro,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,44.169223,28.611505,magazin in magazin (mall),900147
Partener autorizat - Ilex Com,Bucuresti,Sector 6,"Calea Crangasi, nr.20",737735401,ilex.buc_crangasi@ilexgsm.ro,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 14:00,inchis,44.453623,26.049474,magazin la strada,60338
Partener autorizat - Ilex Com,Bucuresti,Sector 2,"Sos.Pantelimon, nr.350, parter",725683945,ilex.buc_pantelimon@ilexgsm.ro,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 14:00,inchis,44.441542,26.174986,magazin la strada,021661
Partener autorizat - Ilex Com,Bucuresti,Sector 3,Intersectia Str.Dristorului cu Bulevardul Camil Ressu,725827326,ilex.dristor@ilexgsm.ro,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 14:00,inchis,44.419997,26.139019,magazin la strada,031536
Partener autorizat - Ilex Com,Bucuresti,Sector 4,"Sos.Oltenitei, nr.388, Complex Kaufland",726166908,ilex.buc_oltenita@ilexgsm.ro,08:30-22:00,08:30-22:00,08:30-22:00,08:30-22:00,08:30-22:00,08:30-22:00,08:30-22:00,44.384382,26.139803,magazin in magazin (mall),41337
Partener autorizat - Ilex Com,Bucuresti,Sector 6,"Str.Valea Oltului, nr.195-197, Complex Kaufland Brancusi",732668610,ilex.buc_brancusi@ilexgsm.ro,08:30-22:00,08:30-22:00,08:30-22:00,08:30-22:00,08:30-22:00,08:30-22:00,08:30-22:00,44.421931,26.138551,magazin in magazin (mall),061975
Partener autorizat - Ilex Com,Bucuresti,Sector 2,"Bd.Pierre de Coubertain, nr.3-5, Complex Mega Mall",736627000,ilex.megamall@ilexgsm.ro,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,44.441843,26.150449,magazin in magazin (mall),021901
Magazin Vodafone - Constanta Kaufland,Constanta,Constanta,"Str.1 Decembrie 1918, nr.21, Complex Comercial Kaufland",723192002,FranchiseStoreConstantaKaufland_ro@vodafone.com,08:30 - 21:00,08:30 - 21:00,08:30 - 21:00,08:30 - 21:00,08:30 - 21:00,08:30 - 21:00,08:30 - 20:00,44.173138,28.635464,magazin in magazin (mall),900162
Magazin Vodafone - Constanta Kaufland2,Constanta,Constanta,"Str.Aurel Vlaicu, nr.36, Complex Comercial Kaufland",723192002,DL-FranchiseStoreConstantaKauflandAurelVlaicu@voda,08:30-21:00,08:30-21:00,08:30-21:00,08:30-21:00,08:30-21:00,08:30-21:00,09:00 - 20:00,44.154204,28.618711,magazin in magazin (mall),900055
Magazin Vodafone - Bucuresti Auchan Pallady,Bucuresti,Sector 2,Bulevardul Theodor Pallady nr.51 Bucure?Ti,724037020,DL-FranchiseStoreBucurestiAuchanPallady@vodafone.c,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,44.4084,26.2031,magazin in magazin (mall),032258
Partener autorizat - Arsis Trading,Bucuresti,Sector 1,"Str.Orhideelor nr.46, Kaufland Basarab",724243018,bucuresti.kaufland.basarab@arsis.ro,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,44.4486,26.068,magazin in magazin (mall),010956
Partener autorizat - Arsis Trading,Bucuresti,Sector 4,"Str.Lanariei 83A,",724763707,bucuresti.tineretului@arsis.ro,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 18:00,09:00 - 17:00,44.4154,26.1045,magazin la strada,040326
Magazin Vodafone - Bucuresti Hq,Bucuresti,Sector 2,"Str.Barbu Vacarescu, nr.201, Cladirea Globalworth Tower",730708367,RetailStoreBucurestiHQ@vodafone.com,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,Inchis,Inchis,44.4794,26.1022,magazin la strada,020276
